category,usable_name,merchant_id,business_url,merchant_summary,extracted_products,product_type,revenue_model,operational_model,sales_channel,customer_type
AI,Kango Labs LLC,acct_16UPmAEOzsRLprsu,https://umbravi.io/,"Umbravi is a Shadow AI Discovery service designed for organizations seeking to understand their AI risk exposure quickly and efficiently, without the need for a consultant or expensive contracts.","[""Shadow AI Risk Report"",""AI Tool Inventory"",""Regulatory Exposure Score"",""Priority Action Plan""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2B""]"
AI,Digital Social Clicks Agency,acct_1BO45bExU4Kq7YJv,https://digitalsocialclicks.com/,"Digital Social Clicks offers AI-driven solutions for business appointment booking and lead engagement, focusing on automation and cost-effectiveness for various industries.","[""Voice AI Agent"",""Appointment booking services"",""Business automation solutions""]","[""Services""]","[""Subscription""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
AI,Robb Clarke,acct_1D7uMdHau3x7ebpi,http://robbclarke.com,"Robb Clarke is an AI consultant helping SaaS and B2B teams build AI support agents that resolve tickets, offering services ranging from strategy to implementation.","[""AI consulting"",""AI support agents"",""AI implementation"",""SaaS AI"",""customer support automation""]","[""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2B""]"
AI,Nonye Okonkwo,acct_1KVkCpI9OrJirv3v,https://nonyeomd1.square.site/,"Nonye is an AI Research Artist who utilizes graphic design to create infographics, memes, and articles aimed at enhancing learning. She is the founder of ENTNDO, an AI infrastructure startup focused on addressing the AI alignment problem through innovative methods such as Brain-Computer Interfaces and extensive research.","[""Performance coaching services"",""Graphic design for infographics and memes"",""AI training datasets""]","[""Services"",""Digital""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2C""]"
AI,DIGIFLOW,acct_1NcrAvHJmPfxE20j,http://token.baystoneai.com,"This merchant provides enterprise-grade AI model API services, allowing users to integrate and utilize AI models in their applications. They support multiple models and offer various pricing plans based on usage, including a free trial and other subscription options.","[""AI model API services"",""Basic version model (通义千问)"",""Enterprise version model""]","[""Digital"",""Services""]","[""One-Time"",""Subscription"",""Usage-Based Billing""]","[""Direct"",""SaaS Platform""]","[""Online""]","[""B2B"",""B2C""]"
AI,agihouse.ai,acct_1NsbI5PV1W9hAVyb,http://agihouse.ai,"AGI House is a community dedicated to advancing the field of artificial intelligence, fostering collaboration among AI founders and researchers. They provide a supportive environment for developing cutting-edge technology and conducting groundbreaking research.","[""AI Founders Community"",""Research Collaboration"",""Hackathon Projects""]","[""Services""]","[""Subscription""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
AI,twitter.com,acct_1OHFjIPFXzOsCh1q,https://axcxept.com/,"AXCXEPT Inc. is a Japan-based company specializing in domain-specific LLM fine-tuning, air-gapped AI environment deployment, and enterprise AI consulting. They offer a full range of AI solutions for enterprises, emphasizing security and customization.","[""Domain-Specific LLM Fine-Tuning"",""Air-Gapped AI Environment Deployment"",""AI Consulting \u0026 PoC""]","[""Services"",""Digital""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2B""]"
AI,HATCHIAREN,acct_1Q02iEKaUvlR5Zl4,http://www.hatchiarena.it,null,"[""AI Agents"",""Customizable Coaching"",""Analytics Tools"",""Virtual Management Consultant"",""Micro-learning Courses""]","[""Digital"",""Services""]","[""One-Time"",""Subscription""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
AI,Shewell Consulting,acct_1Q3IeBCco649Tus5,https://usemerlin.io/,null,"[""Contextual intelligence system"",""Research automation tool"",""Sales preparation tool""]","[""Digital"",""Services""]","[""Subscription"",""Usage-Based Billing""]","[""Direct"",""SaaS Platform""]","[""Online""]","[""B2B""]"
AI,Tóth Mátyás EV.,acct_1QOwzfKPIgQMt7Md,http://otthonai.reigdev.hu,null,"[""Interior design services"",""AI-based room planning tool""]","[""Digital"",""Services""]","[""Subscription""]","[""Direct""]","[""Online""]","[""B2C""]"
Accounting Services,Anbel Accounting,acct_1CWvUQEyP3YwmlG6,https://anbelaccounting.com/,"ANBEL ACCOUNTING is a professional accounting firm that provides personalized accounting services to clients across the Tri-State area. They serve as financial advisors, tax planners, and offer expert guidance in financial decision-making.","[""Tax Accounting"",""Bookkeeping"",""Management Accounting""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Accounting Services,TaxAssist-York,acct_1Ec3JFKMDa6nWHA2,http://www.taxassist.co.uk/york,"TaxAssist Accountants provides a variety of accountancy services for small businesses, including year end accounts, bookkeeping, tax return services, VAT, and payroll services primarily for clients in York.","[""tax accountancy services"",""year end accounts"",""bookkeeping"",""tax return services"",""VAT services"",""payroll services""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online"",""Physical""]","[""B2B"",""B2C""]"
Accounting Services,TaxAssist Accountants,acct_1Ec3h9Fu2PcW7u3l,https://taxassist.co.uk/accountants/peterborough,"TaxAssist Accountants offer tax accountancy services and advice specifically tailored for small businesses in Peterborough. They provide a variety of services such as year end accounts, bookkeeping, tax return services, VAT, and payroll services. Customers can contact them via their dedicated phone line.","[""tax accountancy services"",""year end accounts"",""bookkeeping"",""tax return services"",""VAT services"",""payroll services""]","[""Services""]","[""One-Time""]","[""Direct""]","[""Online""]","[""B2B"",""B2C""]"
